type,line,original,modern,english,id,title,description
line,3614,ny venen adro dotha,ny vynnen a-dro dhodho.,I would not about him.,,,
blank,,,,,,,
speaker,,MULIER 3615,Mulier,THE WOMAN.,,,
line,3615,Maria me reth pesys,"Maria, my re'th pysis","Mary, I have besought thee",,,
line,3616,rag ov map sur lues guyth,rag ow mab sur lies gweyth.,For my son surely many times.,,,
line,3617,maria wath ny vynsys,"Maria, hwath ny vynnsys","Mary, yet thou hast not willed",,,
line,3618,thymo vy gul confort vyth,dhymmo vy gul konfort vydh.,To do me any comfort.,,,
line,3619,maria me a weyl neys,"Maria, my a wel nes","Mary, I see again",,,
line,3620,am creya vy fors ny reyth,"a'm kria vy fors ny wredh,","For my crying thou carest not,",,,
line,3621,maria mercy mar suys,"Maria, mersi mars eus,","Mary, if there be mercy,",,,
line,3622,in nos praga nam clowyth,y'n nos praga na'm klywydh?,Why dost thou not hear me to-night ?,,,
blank,,,,,,,
line,3623,Maria nynsus nahen,"Maria, nyns eus nahen:","Mary, it is not otherwise :",,,
line,3624,ny ammont ov peiadov,ny amont ow fysadow.,My prayer avails not.,,,
line,3625,maria ov map certen,Maria ow mab sertan,"Mary, my son certainly",,,
line,3626,yma in tyn colmennov,yma yn tynn kolmennow.,Is in strait bonds.,,,
line,3627,maria creys thym lemen,"Maria, krys dhymm lemmyn","Mary, believe me now,",,,
line,3628,rag ov flogh an caradov,"rag ow flogh, an karadow.","For my son, the loveable,",,,
line,3629,maria the vap byen,"Maria, dha Vab byghan","Mary, thy little Son",,,
line,3630,gene dre ytha hythov,gene' dre yth a hedhyw.,With me home shall go to-day.,,,
blank,,,,,,,
line,3631,Maria ater the vregh,"Maria, a-der dha vregh","Mary, outside of thy arm,",,,
line,3632,"dulle (dylle {F.C., 4} )thym the vap ihesu",dyllo dhymm dha Vab Yesu.,Let come [go] to me thy son Jesu.,,,
line,3633,awoys ovn peryl na pegh,Awos own peryll na pegh,"Notwithstanding fear of peril or sin,",,,
line,3634,eff a dre gena hythyv,ev a dre gene' hedhyw.,He shall go home with me to-day.,,,
blank,,,,,,,
line,3635,dus dus a vaby,"Deus, deus a vabi!","Come, come, O baby !",,,
line,3636,farwel genes maria,"Farwel genes, Maria,","Farewell to thee, Mary,",,,
line,3637,ny vanna the annya,ny vynna' dha annia,I will not annoy thee,,,
line,3638,oma na moy ov pesy,omma na moy ow pysi.,Here praying more.,,,
stage,,tranceat domum [cum ihesu,,[Let her go home with Jesu.,,,
blank,,,,,,,
speaker,,[MULIER] 3639,,,,,
line,3639,Ihesu crist lowene dys,"Yesu Krist, lowena dhis!","Jesu Christ, joy to thee !",,,
line,3640,purker ty a veth guythys,Pur ger ty a vydh gwithys,Full dearly thou shalt be kept [A coffer ready.,,,
stage,,[cofyr aredy,,,,,
line,3641,avel ov flogh ov honyn,"avel ow flogh ow honan,","Like my own child,",,,
line,3642,"hag in quethov fyn malys (maylys {F.C., 13} )","hag yn kwethow fin maylys,","And swaddled in fine clothes,",,,
line,3643,in ov cofyr sur gorys,yn ow hofer sur gorrys,Put [surely] into my coffer,,,
line,3644,oma alwethys certeyn,omma alhwedhys sertan.,Here locked surely [certainly].,,,
line,3645,lemen me yv lowenheys,Lemmyn my yw lowenhes:,Now I am gladdened :,,,
line,3646,moys the powes me a vyn,mos dhe bowes my a vynn.,I will go to rest.,,,
blank,,,,,,,
speaker,,MARIA,Maria  <in celo dicit,MARY says in heaven.,,,
stage,,[in celo dicit,,,,,
line,3647,Ihesus ov map caradov,"Yesus, ow Mab karadow,","Jesus, my loveable Son,",,,
line,3648,myns us grueys heb feladov,myns eus gwrys heb falladow,"All that is done, without fail,",,,
line,3649,dalour y wothes certen,"da lowr y hwodhes sertan,","Well enough thou knowest certainly,",,,
line,3650,ha pendra us in golon,ha pandra eus y'n golonn.,And what is in the heart.,,,
line,3651,confort thum cervons dyson,Konfort dhe'm servons dison,Comfort to my servants at once,,,
line,3652,boys y carsen,bos y karsen.,I should like to be.,,,
blank,,,,,,,
speaker,,IHESUS 3653,Ihesus,JESUS.,,,
line,3653,A vam grua del vy plesijs,"A Vamm, gwra dell vi plesyes.","O mother, do as thou mayst be pleased.",,,
line,3654,neb ath worth a veth esijs,Neb a'th wordh a vydh esyes,Whoever worships thee shall be eased,,,
line,3655,kyn fensi polge ov cortes,kyn fens i pols ow kortos.,Though they be tarrying a moment.,,,
line,3656,theth servont myr,"Dhe'th servont mir,","To thy servant look,",,,
line,3657,grua the desyr,"gwra dha dhesir,","Do thy desire,",,,
line,3658,ha both the vreyes,ha bodh dha vrys.,And the will of thy mind.,,,
blank,,,,,,,
stage,,[descendit maria cum ij angelis aarcerem,,[Mary descends with two angels to the prison,,,
blank,,,,,,,
speaker,,MARIA 3659,Maria,MARY.,,,
line,3659,A then yonk fetel esta,A dhen yo'nk fatell es'ta?,"O young man, how art thou ?",,,
line,3660,mur yv the lavyr oma,Meur yw dha lavur omma,Great is thy labour here,,,
line,3661,heb y dyndyl,heb y dhendil.,Without deserving it.,,,
line,3662,sav a vo in bevnans da,"Saw a vo yn bywnans da,","But he who shall be in the [a] good life,",,,
line,3663,grays du purguir the henna,gras Dyw pur wir dhe henna,God's grace right truly to that (man),,,
line,3664,in dyweth certen ny fyl,y'n diwedh sertan ny fyll.,3664 At the end certainly shall not fail.,,,
blank,,,,,,,
speaker,,FILIUS 3665,Filius,THE SON.,,,
line,3665,Ihesu arluth thum gueres,"Yesu Arloedh, dhe'm gweres!","Lord Jesu, to help me !",,,
line,3666,byth ny alla omheres,Bydh ny alla' omweres.,I cannot help myself.,,,
line,3667,dyegrys off gans gvynder,Dyegrys ov gans gwynnder.,Blinded am I by whiteness.,,,
line,3668,ny won rum caredevder,"Ny wonn, re'm karadowder,","I know not, by my loveableness,",,,
line,3669,pendra yv an golevder,pandra yw an golowder,What is the radiance,,,
line,3670,us adro thym heb awer,eus a-dro dhymm heb ahwer.,That is around me without grief.,,,
blank,,,,,,,
speaker,,MARIA 3671,Maria,MARY.,,,
line,3671,Omconfort drefe warvan,"Omgonfort, dreva war vann!","Comfort thyself, rise up !",,,
line,3672,kynthos gyllys feynt ha guan,Kynth os gyllys faynt ha gwann,Though thou art become faint and weak,,,
line,3673,wath ty a veth confortys,hwath ty a vydh konfortys.,Yet thou wilt be comforted.,,,
line,3674,in nos na gymer dyglon,Y'n nos na gemmer dig'lonn;,To-night lose not heart :,,,
line,3675,me ath dylerff an preson,my a'th telirv a'n pryson.,I will deliver thee from the prison.,,,
line,3676,oma y tuth rag the leys,Omma y teuth rag dha les.,Here I have come for thy good.,,,
blank,,,,,,,
speaker,,FILIUS 3677,Filius,THE SON.,,,
line,3677,Grovs crist benedicite,"'Grows Krist, benedicite!","O cross of Christ, benedicite!",,,
line,3678,pyv re duth thymo ome,"Piw re dheuth dhymmo omma,","Who has come to me here,",,,
line,3679,han darasov ol degeys,ha'n darasow oll deges?,And the doors all shut ?,,,
line,3680,nos tevle ytho nam nygen,"Nos tewl yth o nammnygen,","A dark night now, to me not otherwise,",,,
line,3681,ha lemen sur golvygyen,ha lemmyn sur gol'wyjyon,And now surely radiance,,,
line,3682,adro thym yma cothys,"a-dro dhymm yma koedhys,","Around me is fallen,",,,
line,3683,hag yma forme a vynen,"hag yma form a venyn,","And there is a form of a woman,",,,
line,3684,myternes pur in y greys,Myghternes pur yn y gres.,"A queen, right in the midst of it.",,,
blank,,,,,,,
speaker,,MARIA 3685,Maria,MARY.,,,
line,3685,"Dore (Doro {F.C., 8} ) in mes the garov",Dora yn mes dha arrow:,Bring out thy legs :,,,
line,3686,the orthys an carharov,dhiworthis an kargharow,From thee the fetters,,,
line,3687,prest me a den,"prest my a denn,","At once I will draw,",,,
line,3688,ha dyso an darasow,ha dhiso an darasow,And for thee the doors,,,
line,3689,vgoreff heb feladow,igorav heb falladow.,Open without fail. [I will open],,,
line,3690,nynsus dyalwethy gov,Nyns eus dialhwedhigow,There are not false keys,,,
line,3691,am guyth certen,a'm gwith sertan.,In my keeping certainly.,,,
blank,,,,,,,
line,3692,Lemen ov map ke theth vam,"Lemmyn, ow mab, ke dhe'th vamm,","Now, my son, go to thy mother,",,,
line,3693,ha lafer dethy heb nam,ha lavar dhedhi heb namm,And say to her without error,,,
line,3694,maria theth delyfrya,"Maria dhe'th delivra,","That Mary delivered thee,",,,
line,3695,ha spesly lauer dethy,"ha speshly lavar dhedhi,","And specially say to her,",,,
line,3696,drens hy ov map dymovy,"drens hi ow Mab dhymmo vy,","Let her bring my Son to me,",,,
line,3697,ha gruens ov servia deyly,ha gwrens ow servya deyly,And let her serve me daily,,,
line,3698,arta awose helma,arta a-wosa hemma.,Again after this.,,,
blank,,,,,,,
speaker,,FILIUS MULIERIS 3699,Filius mulieris,THE WOMAN'S SON.,,,
line,3699,Maria gorthys reby,"Maria, gordhys re bi!","Mary, worshipped be thou!",,,
line,3700,maria guyff nynsen vy,"Maria, gwiw nyns en vy","Mary, worthy I was not",,,
line,3701,genes the vones ledijs,genes dhe vones ledyes.,By thee to be guided.,,,
line,3702,maria thyso mur grays,"Maria, dhiso meur gras!","Mary, to thee much thanks !",,,
line,3703,maria na ve the rays,"Maria, na ve dha ras","Mary, (if) thy grace were not",,,
line,3704,gon guyr y fyen dyswreys,gonn gwir y fien diswrys.,3704 I know truly I should be undone.,,,
blank,,,,,,,
speaker,,MARIA 3705,Maria,MARY.,,,
line,3705,Ov banneth genes heb nam,"Ow bennath genes heb namm,","My blessing (be) with thee, without exception,",,,
line,3706,ham banneth y roff theth vam,ha'm bennath y rov dhe'th vamm:,And my blessing I give to thy mother :,,,
line,3707,lauer in delle dethy,lavar yndella dhedhi:,Say thus to her ;,,,
line,3708,kyn thevely dethy pel,kynth heveli dhedhi pell,Though it should seem that far from her [to her that long],,,
line,3709,ov boys heb y clowes lel,"ow bos heb hy klywes lel,","I am without hearing her loyally,",,,
line,3710,ny vennen y ankevy,ny vynnen hy ankevi.,I will not forget her.,,,
stage,,[finit,,,,,
stage,,[tranceat maria aelum,,[Let Mary pass to heaven.,,,
blank,,,,,,,
speaker,,CARCERARIUS 3711,Carcerarius,THE GAOLER.,,,
line,3711,Out gony mata sa ban,"Out, go-ni, mata, sa' bann!","Out, woe's us, mate, stand up !",,,
line,3712,haneth oll an beys gans tan,Haneth oll an bys gans tan,To-night all the world with fire,,,
line,3713,yma purguir han presan,"yma pur wir, ha'n pryson","Is rignt truly, and the prison",,,
line,3714,ov colowhy,ow kolowi.,A-blazing.,,,
line,3715,me a greys boys grueys forth lan,My a grys bos gwrys fordh lan,I believe that a clear way is made,,,
line,3716,ena defry,ena devri.,There really.,,,
blank,,,,,,,
speaker,,GARCON 3717,Garcon,THE BOY.,,,
line,3717,An presnour in kerth galleys,"An prysner yn kerdh gallas,","The prisoner has gone away,",,,
line,3718,han darasov oll degeys,ha'n darasow oll deges.,And the doors all closed.,,,
line,3719,pyv an iovle revue oma,Piw an jowl re beu omma?,Who the devil has been here ?,,,
line,3720,duen then turant leferyn,"Deun dhe'n turant, leveryn -",Let us come to the tyrant : let us say :,,,
line,3721,a molleth du in gegyn,"A, molleth Dyw y'n gegin,",O God's curse in the kitchen,,,
line,3722,"at oma sur drog athla (drok-whethlow? {F.C., 13} )",otomma sur drog adla!,See here surely an evil outlaw.,,,
blank,,,,,,,
speaker,,CARCERARIUS,Carcerarius,THE GAOLER to the tyrant.,,,
stage,,[ad tyrannum,,,,,
line,3723,A ser turant gony gony,"A syrr turant, go-ni, go-ni!","O sir tyrant, woe's us, woe's us !",,,
line,3724,an presner in kerth defry,An prysner yn kerdh devri,The prisoner away really,,,
line,3725,galles eff haneth in nos,gallas ev haneth yn nos.,He has gone this very night,,,
line,3726,golovder ganso revue,"Golowder ganso re beu,","Radiance was with him,",,,
line,3727,bythqueth moy ovn numdarfe,"bythkweyth moy own ny'm darva,","Never had I greater fear,",,,
line,3728,re thu am ros,re Dhyw a'm ros!,By God who made me [gave me (to the world)]!,,,
stage,,[finit,,,,,
blank,,,,,,,
speaker,,TYRANNUS 3729,Tyrannus,THE TYRANT.,,,
line,3729,Out govy harov harov,"Out, go-vy, harow, harow!","Out woe's me, haro, haro !",,,
line,3730,py ma ov fresner feyys,Pyma ow frysner fiys?,Where has my prisoner fled ?,,,
line,3731,why a feth purguir marov,Hwi a vydh pur wir marow,You shall be right truly dead,,,
line,3732,mara sywe dyenkys,maras yw-a dienkys,If he has escaped,,,
line,3733,rum lel ena,re'm lel ena!,By my loyal soul !,,,
line,3734,an horsens revue methov,"An horsens re beu medhow,","The whoresons were drunk,",,,
line,3735,ha re ases tus an pov,"ha re asas tus an pow,","And allowed the people of the country,",,,
line,3736,me a wor thy delyvrya,"my a woer, dh'y dhelivra.","I know, to deliver him.",,,
blank,,,,,,,
speaker,,GARCON 3737,Garcon,THE BOY.,,,
line,3737,Ay turant ke war the gam,"Ay turant, ke war dha gamm!","O tyrant, go on thy way !",,,
line,3738,molleth du the vap the vam,Molleth Dyw dhe vab dha vamm!,God's curse to thy mother's son !,,,
line,3739,yma ree ov leferel,Yma re ow leverel,"Some are saying,",,,
line,3740,"heb ty vyth na govlya {F.C., 1}","heb ti vydh na gowlia,","Without any oath or howling (?) [perjury],",,,
line,3741,delyfrys der varia,delivrys der Varia,Delivered by Mary,,,
line,3742,fetel ywa dyogel,"fatell yw-a diogel,","As he is certainly,",,,
line,3743,hagis boys wy de vlamya,"ha'gas bos hwi dhe vlamya,","And that you are to blame,",,,
line,3744,war vohogo[g]yon cruel,war voghosogyon kruel.,To poor men cruel,,,
stage,,[finit,,,,,
stage,,[yerde aredy,,[a staff ready.,,,
blank,,,,,,,
speaker,,TYRANNUS 3745,Tyrannus,THE TYRANT.,,,
line,3745,Ay dar indelle vethy,"Ay, dar, yndella vydh hi?","Ah, ruin, will they be so ?",,,
line,3746,mal myscheff regis doga,"Mal, myschef a'gas dokko",May ill mischief bear you off!,,,
line,3747,ov sclandra mar mynnogh why,"ow sklandra mar mynnowgh hwi,","If you will slander me,",,,
line,3748,ha leferel ov bosa,ha leverel ow bos-a,And say that I am,,,
line,3749,omma cruel,"omma kruel,","Here cruel,",,,
line,3750,"why an prev#t# (pre[n]vyth {F.C., 1} ) du in test","hwi a'n prenvydh, Dyw yn test!","You shall prove [pay for] it, God in witness !",,,
line,3751,have that me agis lest,Have that! My a'gas lest,Have that ! I will hinder you,,,
line,3752,rag desky drok thym covsel,rag dyski drog dhymm kewsel.,From teaching [learning] (folk) to speak ill of me.,,,
stage,,[finit,,,,,
stage,,verberat eos,,he beats them.,,,
blank,,,,,,,
speaker,,FILIUS 3753,Filius,THE SON. [he goes up to his mother,,,
line,3753,Hebasca thywhy ov mam,"Hebaska dhy'hwi, ow mamm,","Sweetness (?) to you, my mother,",,,
line,3754,mur reverons the varia,meur revrons dhe Varia!,Much reverence to Mary !,,,
line,3755,thynny prest y fye cam,Dhyn ni prest y fia kamm,For us ever it would be wrong,,,
line,3756,mar ny rellen y gorthya,mar ny wrellen hy gordhya.,If we did not worship her,,,
line,3757,in guelhe preys,Yn gwella prys,In best time.,,,
line,3758,hy re ruk ov delyfrya,hi re wrug ow delivra,She has delivered me,,,
line,3759,mes a preson mam kerra,"mes a bryson, Mamm gerra,","Out of prison, dearest mother,",,,
line,3760,le may theua drokhendelys,le mayth en-a drog hendlys.,A place where I was evilly handled.,,,
blank,,,,,,,
speaker,,MULIER 3761,Mulier,THE WOMAN.,,,
line,3761,"Maria rebo gorthys (revo? {F.N., 218} )",Maria re bo gordhys!,Mary be worshipped !,,,
line,3762,dasvewys yv ov sperys,Dasvywys yw ow spyrys,My spirit is revived,,,
line,3763,ov map the gueles oma,ow mab dhe weles omma!,To see my son here !,,,
line,3764,fetel vusta delyfrys,Fatell veusta delivrys?,How wast thou delivered !,,,
line,3765,laver thymo me ath peys,"Lavar dhymmo, my a'th pys,","Tell me, I beseech thee,",,,
line,3766,ov map kerra,ow mab kerra.,My dearest son.,,,
blank,,,,,,,
speaker,,FILIUS 3767,Filius,THE SON.,,,
line,3767,Maria thymo in nos,Maria dhymmo y'n nos,Mary to me at night,,,
line,3768,purguir a thueth then preson,pur wir a dheuth dhe'n pryson,Right truly came to the prison,,,
line,3769,gans golov ha mur a tros,gans golow ha meur a dros.,With light and much noise.,,,
line,3770,in coske bo dufen dyson,Yn kosk bo difun dison,Asleep or awake [quietly],,,
line,3771,ny won esen,ny wonn esen.,I know not whether I was.,,,
line,3772,hy purguir am degolmas,"Hi pur wir a'm digolmas,","She right truly unchained me,",,,
line,3773,han dares dym egoras,"ha'n daras dhymm igoras,","And opened the door for me,",,,
line,3774,hag vfel am comondyas,hag uvel a'm kommondyas,And gently bade me,,,
line,3775,thum mam the dre may thellen,dhe'm mamm dhe dre mayth ellen,To go home to my mother.,,,
blank,,,,,,,
line,3776,Inmethy lauer theth vam,Yn-medh hi: 'Lavar dhe'th vamm,She said: 'tell thy mother,,,
line,3777,me theth delyfrye heb nam,my dhe'th telivra heb namm,"That I have delivered thee without exception,",,,
line,3778,sav thymo restoryans hy,saw dhymmo restoryens hi,But to me let her restore,,,
line,3779,ov map henna nynsyv cam,ow Mab: henna nyns yw kamm,My son : that is not wrong,,,
line,3780,pan vsy y flogh dethy,pan usi hy flogh dhedhi!',Since she has her (own) son.',,,
stage,,[finit,,,,,
blank,,,,,,,
speaker,,MULIER 3781,Mulier,THE WOMAN.,,,
line,3781,The varya wyn mur grays,Dhe Varia Wynn meur gras!,To blessed Mary much thanks !,,,
line,3782,a vyna hy the guerays,"A vynno hi dhe weres,","If she will help thee,",,,
line,3783,in dyweth ny veth tollys,y'n diwedh ny vydh toellys.,At the end thou wilt not be deceived.,,,
line,3784,y flogh me a gemerays,Hy flogh my a gemmeras,Her child I took,,,
line,3785,the orth y yamach a rays,dhiworth hy imaj a ras,From her image of grace,,,
line,3786,drefen nages restorijs,drefenn nag es restoryes,Because thou wert not restored,,,
line,3787,thymo gensy,dhymmo gensi.,To me by her.,,,
line,3788,marthys claff o ov holon,Marthys klav o ow holonn.,Wondrous sick was my heart,,,
line,3789,an flogh then ymach dyson,An flogh dhe'n imaj dison,The child to the image at once,,,
line,3790,me a vyn don eredy,"my a vynn doen yredi,","I will bear readily,",,,
line,3791,Ha mos quik bys in eglos,ha mos kwykk bys y'n eglos.,And go quick to the church.,,,
line,3792,oma atte guythys clos,Omma otta gwithys klos:,"Lo here it is, wrapt [kept] close :",,,
line,3793,y aperia ny vynnys,y aperya ny vynnis.,I would not open it.,,,
blank,,,,,,,
line,3794,maria lowene dis,"Maria, lowena dhis!","Mary, joy to thee !",,,
line,3795,maria dyso mur grays,"Maria, dhiso meur gras,","Mary, to thee much thanks,",,,
line,3796,ov map dym dry pan vynsys,ow mab dhymm dri pan vynnsys.,Since thou wouldst bring me my son.,,,
stage,,[descendit ad ecclesiam beate marie cum ihesu,descendit ad ecclesiam beate marie cum ihesu,[She goes down with the image of Jesus to the church of blessed Mary.,,,
blank,,,,,,,
line,3797,Maria kemer the flogh,"Maria, kemmer dha flogh,","Mary, take thy child,",,,
line,3798,maria re vuff relogh,"Maria, re beuv re logh","Mary, I have been overlax",,,
line,3799,in the gever,yn dha gever.,Regarding thee.,,,
line,3800,sav mercy y raff pesy,"Saw mersi y hwrav pysi,","But mercy I beseech,",,,
line,3801,hag onen ath servysy,hag onan  a'th servysi,And one of thy servants,,,
line,3802,nefre bethe heb awer,nevra bydha' heb ahwer.,Ever I shall be without grief.,,,
blank,,,,,,,
stage,,ffinit hec pagina,,,,,
stage,,[finit tranceat domum,,[Let her go home.,,,
blank,,,,,,,
section,,,,,meriasek4,Meriasek Part 4,Madman
stage,,[demens et paterfamilias paratus,,[A madman and a head of a family ready.,,,
blank,,,,,,,
speaker,,DEMENS,Demens  <forling and suagynk,A MADMAN hurling and swagging.,,,
stage,,[forlyng and suagynk,,,,,
line,3803,Out warnogh wy falge guesyon,"Out warnowgh, hwi fals gwesyon!","Out on you, ye false fellows !",,,
line,3804,prag y russugh ov kelmy,Prag y hwrussowgh ow helmi?,Why have you bound me ?,,,
line,3805,agis pennov myllusyon,Agas pennow milusyon,Your lousy heads,,,
line,3806,me a ra age therry,my a wra aga therri.,I will break them.,,,
blank,,,,,,,
speaker,,PATERFAMILIAS 3807,Paterfamilias,HEAD OF A FAMILY.,,,
line,3807,Lauer purguir mar kyllyth,Lavar pur wir mar kyllydh.,Talk right truly if thou canst,,,
line,3808,henna lemen y fyllyth,Henna lemmyn y fyllydh,"That now thou shalt lack,",,,
line,3809,rag pur fast ythos chenys,rag pur fast yth os chaynys.,For right fast thou art chained.,,,
line,3810,the veryasek me a vyn,Dhe Veryasek my a vynn,To Meriasek. I will,,,
line,3811,the wore purguir lemyn,dha worra pur wir lemmyn,Put thee right truly now,,,
line,3812,mar kyllyth bones sawys,mar kyllydh bones sawys.,If thou canst be healed.,,,
blank,,,,,,,
speaker,,DEMENS 3813,Demens,THE MADMAN.,,,
line,3813,Lauer thymo lagasek,"Lavar dhymmo, lagasek,","Tell me, thou big-eyed,",,,
line,3814,pendrama gans meryasek,pandr' wra-ma gans Meryasek?,What thing is [shall I do] with Meriasek ?,,,
line,3815,mar guir an iovle theth lesky,Mar wir an jowl dhe'th leski.,So truly the devil burn thee !,,,
blank,,,,,,,
speaker,,PATERFAMILIAS 3816,Paterfamilias,THE HEAD OF A FAMILY.,,,
line,3816,Meryasek dyugh lowena,"Meryasek, dhywgh lowena!","Meriasek, joy to thee !",,,
line,3817,den mes ay revle us gena,"Den mes a'y rewl eus gene',","A man out of his mind is with me,",,,
line,3818,ha tus re ruk ov heskey,ha tus re wrug ow heski,And folk have advised me,,,
line,3819,may rellen y dry oma,may wrellen y dhri omma,That I should bring him here,,,
line,3820,the voys socrys genogh wy,dhe vos sokrys genowgh hwi.,To be succoured by you.,,,
blank,,,,,,,
speaker,,MERIADOCUS EPISCOPUS 3821,Meriadocus episcopus,BISHOP MERIASEK.,,,
line,3821,Ihesu arluth us avan,"Yesu, Arloedh eus a-vann","May Jesu, lord that art above,",,,
line,3822,re werese creff ha guan,re weresso krev ha gwann!,Aid strong and weak !,,,
line,3823,trewethek syght yv helma,"Truedhek syght yw hemma,",A piteous sight is this.,,,
line,3824,gueles den yonk tek certan,gweles den yo'nk teg sertan,"To see a young man, fair certainly,",,,
line,3825,cheynys in keth vanerma,chaynys y'n keth vaner ma.,Chained in this same manner.,,,
blank,,,,,,,
speaker,,DEMENS 3826,Demens,THE MADMAN.,,,
line,3826,Awoys ov bones cheynys,Awos ow bones chaynys,"Because of my being chained,",,,
line,3827,a tefes dym nebes neys,a teffes dhymm nebes nes,"If thou wouldst come to me somewhat nearer,",,,
line,3828,me a pylse the pen blogh,my a bilsa dha benn blogh,"I would peel thy blockhead,",,,
line,3829,hag a russa,hag a wrussa,And I would make,,,
line,3830,dyso oma,dhiso omma,For thee here,,,
line,3831,garrow pur trogh,garrow pur drogh.,Legs all broken.,,,
blank,,,,,,,
speaker,,MERIADOCUS,Meriadocus Episcopus,MERIASEK [kneels.,,,
stage,,[genuflectit,,,,,
line,3832,Ihesu arluth me ath peys,"Yesu Arloedh, my a'th pys","Jesu, Lord, I beseech thee",,,
line,3833,gueres omma an denma,gweres omma an den ma.,Help here this man.,,,
line,3834,ihesu crist arluth grassyeys,"Yesu Krist, Arloedh grassyes","Jesu Christ, gracious Lord,",,,
line,3835,thy skyans lemen drofa,dh'y skians lemmyn dro-va.,To his wits now bring him.,,,
line,3836,ihesu arluth map guerheys,"Yesu Arloedh, Mab Gwyrghes,","Jesu, Lord, son of a virgin,",,,
line,3837,y envy gor the orta,y envi gorr dhiworto!,His enemy put from him !,,,
line,3838,ihesu gront na ven nehys,"Yesu, gront na ven neghys,","Jesu, grant that I be not denied,",,,
line,3839,ha peys gene maria,"ha pes gene', Maria.","And beseech with me, Mary.",,,
blank,,,,,,,
line,3840,Gorta ty then dym omma,"Gorta, ty dhen, dhymm omma:","Wait, thou man, for me here :",,,
line,3841,in hanov map maria,yn Hanow Mab Maria,In the name of Mary's Son,,,
line,3842,me a vyn the degelmy,my a vynn dha dhigelmi.,I will unbind thee.,,,
line,3843,neb a yl hag a ylly,Neb a yll hag a ylli,"May he who can, and who wil [could],",,,
line,3844,ressawhyagy heb yly,re sawyo jy heb eli!,Heal thee without salve !,,,
line,3845,amen warbarth gruen pesy,Amen warbarth gwren pysi!,Amen together let us pray !,,,
blank,,,,,,,
speaker,,DEMENS 3846,Demens,THE MADMAN.,,,
line,3846,The crist ihesus murworthyans,"Dhe Krist Yesus meur wordhyans,","To Christ Jesu, much honour,",,,
line,3847,ha thys meryasek nefra,"ha dhis, Meryasek, nevra!","And to thee, Meriasek, ever !",,,
line,3848,cryst thym re dros ov skyans,Krist dhymm re dhros ow skians,Christ has brought me my wits,,,
line,3849,drethos meryasek oma,"dredhos, Meryasek, omma.","Through thee, Meriasek, here.",,,
line,3850,meryasek in ov bevnans,"Meryasek, yn ow bywnans","Meriasek, in my life",,,
line,3851,me a vyn prest the servya,my a vynn prest dha servya.,I will always serve thee.,,,
line,3852,meryasek dyso reverans,"Meryasek, dhiso revrons!","Meriasek, to thee reverence !",,,
line,3853,sensys ovy theth gorthya,Synsys ov vy dhe'th wordhya.,Bound am I to honour thee. [he ends.,,,
stage,,[finit,,,,,
blank,,,,,,,
speaker,,MERIADOCUS 3854,Meriadocus,MERIASEK.,,,
line,3854,Thum oratry moys manna,Dhe'm oratri mos mynna',To my oratory I will go,,,
line,3855,the besy war varia,dhe bysi war Varia,To pray to Mary,,,
line,3856,prest ov gueres,"prest ow gweres,","Always to help me,",,,
line,3857,ha thum guythe pup seson,ha dhe'm gwitha pub seson,And to keep me at every season,,,
line,3858,omma the orth temptasconn,"omma dhiworth temptashyon,","Here from temptation,",,,
line,3859,ha the orth pup drok covsy[s],ha dhiworth pub drog kowses.,And from every evil thought.,,,
blank,,,,,,,
stage,,[ad oratorium genuflectit,,[He kneels at the oratory.,,,
blank,,,,,,,
line,3860,Ihesus arluth luen a ras,"Yesus, Arloedh, leun a ras,","Jesus, Lord, full of grace",,,
line,3861,gorthyans dys ha lowena,gordhyans dhis ha lowena.,Worship to thee and joy,,,
line,3862,ihesu arluth in pup plas,"Yesu, Arloedh yn pub plas,","Jesu, Lord in every place,",,,
line,3863,guyth ov ena heb mostya,"gwith ow ena heb mostya,","Keep my soul without corruption [defilement],",,,
line,3864,ham corff kefrys,ha'm korf keffrys.,And my body likewise.,,,
line,3865,maria gvyn guyrhes pur,"Maria Wynn, Gwyrghes pur,","Blessed Mary, pure virgin,",,,
line,3866,maria beth ov socur,"Maria, bydh ow sokor!",Mary be my succour !,,,
line,3867,maria a gara mur,"Maria, a gara' meur,","Mary, whom I love much,",,,
line,3868,the du ker peys rag ov leys,dhe Dhyw ker pys rag ow les.,To dear God pray on my behalf.,,,
blank,,,,,,,
speaker,,IHS. 3869,IHS,JESUS.,,,
line,3869,Ov eleth ker eugh then beys,"Ow eledh ker, ewgh dhe'n bys.","My angels dear, go ye to the world.",,,
line,3870,susten an neff bethens reys,Sosten an nev bedhens res,Let the food of heaven be given,,,
line,3871,the veryasek,dhe Veryasek.,To Meriasek.,,,
line,3872,megys y feth gans ov grays,"Megys y fydh gans ow gras,","Nourished he shall be with my grace,",,,
line,3873,benyges yv in pup plays,"bennigys yw yn pub plas,","Blessed he is in every place,",,,
line,3874,y oberov dym a plek,y oberow dhymm a pleg.,His works are pleasing to me.,,,
blank,,,,,,,
speaker,,[MI]CHAEL 3875,(Mi)chael,MICHAEL.,,,
line,3875,Ihesu de voth a veth grueys,"Yesu, dha vodh a vydh gwrys,","Jesus, thy will shall be done,",,,
line,3876,dotho eff ythen uskys,"dhodho ev yth en uskis,","To him we shall go quickly,",,,
